epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8045.27,0.66071,0.69818,1.18268,0.95098,0.88183,0.95796,0.8465,0.45501,1.00295,0.85447,0.0015941,0.0015941,0.0015941
43,8220.84,0.69957,0.72264,1.1918,0.92831,0.94172,0.97075,0.85926,0.43136,0.7892,0.84169,0.0015842,0.0015842,0.0015842
44,8400.13,0.68544,0.68496,1.19698,0.97589,0.91818,0.97847,0.88109,0.44102,0.49274,0.85119,0.0015743,0.0015743,0.0015743
45,8577.32,0.66675,0.71034,1.18333,0.98603,0.9,0.96615,0.88018,0.42685,0.49696,0.84504,0.0015644,0.0015644,0.0015644
46,8753.69,0.64848,0.68678,1.1692,0.96288,0.94318,0.97775,0.87547,0.39394,0.64556,0.83381,0.0015545,0.0015545,0.0015545
47,8928.8,0.66538,0.70961,1.18243,0.94232,0.89091,0.95996,0.87761,0.39531,0.62198,0.81925,0.0015446,0.0015446,0.0015446
48,9106.4,0.65187,0.65322,1.16123,0.99938,0.92727,0.97091,0.88344,0.38688,0.48301,0.80827,0.0015347,0.0015347,0.0015347
49,9285.3,0.64987,0.66903,1.16033,0.95424,0.94792,0.97775,0.88959,0.43886,0.81706,0.83144,0.0015248,0.0015248,0.0015248
50,9462.14,0.62184,0.6384,1.14988,0.99011,0.91007,0.97914,0.89741,0.39222,0.6252,0.80078,0.0015149,0.0015149,0.0015149
51,9649.68,0.66286,0.67199,1.1729,0.96196,0.91958,0.97126,0.89503,0.35785,0.40735,0.81419,0.001505,0.001505,0.001505
52,9827.28,0.61969,0.63934,1.15246,0.9714,0.92627,0.96631,0.88634,0.37433,0.59984,0.82004,0.0014951,0.0014951,0.0014951
53,10003.9,0.64168,0.66608,1.16956,0.97138,0.92553,0.9754,0.88778,0.35567,0.59129,0.80133,0.0014852,0.0014852,0.0014852
54,10182.2,0.60899,0.61537,1.12904,0.97135,0.92457,0.96663,0.90151,0.34545,0.36556,0.80095,0.0014753,0.0014753,0.0014753
55,10359.9,0.61554,0.61149,1.15152,0.96828,0.93636,0.97918,0.88983,0.38087,0.39394,0.80007,0.0014654,0.0014654,0.0014654
56,10535.7,0.60862,0.62261,1.14519,0.96227,0.92741,0.98164,0.90199,0.41469,0.5363,0.83881,0.0014555,0.0014555,0.0014555
57,10714.6,0.61051,0.62645,1.13911,0.97512,0.90909,0.97571,0.92384,0.34396,0.46949,0.78536,0.0014456,0.0014456,0.0014456
58,10893.6,0.59052,0.61807,1.12986,0.9431,0.90407,0.95951,0.88255,0.36637,0.66342,0.79406,0.0014357,0.0014357,0.0014357
59,11070.2,0.59271,0.61651,1.11561,0.98074,0.92562,0.97855,0.90178,0.33986,0.4514,0.78017,0.0014258,0.0014258,0.0014258
60,11247.5,0.58469,0.59557,1.11534,0.98796,0.92727,0.98789,0.91438,0.30789,0.48941,0.75607,0.0014159,0.0014159,0.0014159
61,1499.56,0.66217,0.71926,1.18852,1,0.93476,0.97463,0.86405,0.35905,1.33821,0.73315,0.001406,0.001406,0.001406
62,1690.48,0.60743,0.62255,1.15483,0.98858,0.91818,0.97588,0.90983,0.32207,0.5658,0.70864,0.0013961,0.0013961,0.0013961
63,1880.73,0.60746,0.59973,1.13976,0.97758,0.92727,0.98156,0.90203,0.30342,0.44277,0.69494,0.0013862,0.0013862,0.0013862
64,2072.85,0.59034,0.59296,1.12735,0.99037,0.93483,0.98031,0.91979,0.28726,0.42286,0.66636,0.0013763,0.0013763,0.0013763
65,2261.93,0.59547,0.62495,1.13989,0.97211,0.95072,0.97877,0.90508,0.31285,0.60119,0.69387,0.0013664,0.0013664,0.0013664
66,2451.39,0.60055,0.57733,1.1303,0.97937,0.93636,0.97745,0.92052,0.29695,0.74318,0.69559,0.0013565,0.0013565,0.0013565
67,2641.93,0.57006,0.58957,1.11238,0.95143,0.92727,0.9771,0.91376,0.31487,0.93451,0.6974,0.0013466,0.0013466,0.0013466
68,2835.09,0.56818,0.58487,1.1087,0.97263,0.95455,0.98491,0.92301,0.27844,0.59849,0.67709,0.0013367,0.0013367,0.0013367
69,3036.4,0.56823,0.5934,1.11648,0.98057,0.91769,0.97415,0.92869,0.30079,0.83556,0.68905,0.0013268,0.0013268,0.0013268
70,3227.14,0.5613,0.5822,1.10584,0.99386,0.91818,0.97701,0.90936,0.31334,0.49675,0.69902,0.0013169,0.0013169,0.0013169
71,3417,0.56242,0.54833,1.10862,0.95275,0.97273,0.99126,0.93322,0.28397,0.66661,0.67889,0.001307,0.001307,0.001307
72,3606.73,0.54864,0.53939,1.08972,0.97651,0.93636,0.9797,0.92669,0.29087,0.43736,0.68441,0.0012971,0.0012971,0.0012971
73,3798.95,0.5404,0.52655,1.08618,0.98146,0.92727,0.98523,0.91654,0.28343,0.51122,0.67867,0.0012872,0.0012872,0.0012872
74,3989.8,0.5575,0.54762,1.11133,0.962,0.92069,0.97383,0.9183,0.28459,0.42777,0.68512,0.0012773,0.0012773,0.0012773
75,4179.56,0.57838,0.55597,1.12086,0.97006,0.94545,0.98557,0.91953,0.28797,0.58158,0.67783,0.0012674,0.0012674,0.0012674
76,4373.06,0.55332,0.5231,1.09596,0.96943,0.97273,0.98898,0.92642,0.27361,0.39892,0.6664,0.0012575,0.0012575,0.0012575
77,4562.6,0.57324,0.53206,1.12287,0.99007,0.90678,0.97621,0.92158,0.26864,0.31933,0.67704,0.0012476,0.0012476,0.0012476
78,4752.91,0.533,0.50901,1.08474,0.98164,0.97234,0.97639,0.92737,0.26836,0.54072,0.66434,0.0012377,0.0012377,0.0012377
79,4942.05,0.53776,0.52065,1.09426,0.99064,0.96261,0.98886,0.93676,0.26668,0.53169,0.66074,0.0012278,0.0012278,0.0012278
80,5131.64,0.53206,0.51776,1.09085,0.98928,0.97273,0.99231,0.93379,0.27139,1.58105,0.66806,0.0012179,0.0012179,0.0012179
